,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_1,timespan_2,timespan_3,timespan_4,timespan_5,cost
0,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,0,0,0,0,1,10231
1,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,11846
2,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,0,1,0,0,23151
3,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,0,1,0,11191
4,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,1,0,0,0,11846
5,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,0,1,0,9511
6,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,1,0,0,9511
7,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,0,1,0,9511
8,1,144.91306819366292,112,90,1,0,0,0,1,1,0,0,0,0,0,0,1,0,13886
9,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,0,0,0,1,0,28507
10,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,0,0,0,0,1,28507
11,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,1,0,0,0,0,28507
12,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,0,31261
13,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,0,0,0,1,0,12806
14,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,1,0,0,26347
15,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,0,1,10231
16,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,0,1,0,9511
17,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,1,0,0,0,31261
18,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,0,0,1,0,0,12806
19,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,1,0,0,11846
20,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,0,1,31027
21,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,1,0,0,9511
22,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,1,0,0,0,0,31027
23,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,0,0,1,9511
24,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,1,0,0,0,0,26347
25,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,0,0,0,1,0,28507
