,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Chengdu,startLocation_Chongqing,startLocation_Guiyang,startLocation_Kunming,endLocation_Chengdu,endLocation_Chongqing,endLocation_Guiyang,endLocation_Kunming,timespan_2,timespan_3,timespan_4,timespan_5,cost
0,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,1,0,0,0,64394
1,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,0,1,0,44635
2,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,1,0,81110
3,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,0,59074
4,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,1,0,54514
5,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,0,76125
6,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,0,89492
7,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,1,0,0,0,87760
8,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,0,1,41215
9,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,0,0,1,37744
10,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,0,1,0,97472
11,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,0,59074
12,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,0,0,1,59074
13,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,0,1,69855
14,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,1,0,0,76125
15,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,0,1,0,97472
16,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,0,89492
17,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,0,1,41215
18,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,1,0,69855
19,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,0,44394
20,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,1,0,0,87760
21,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,0,1,76125
22,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,1,0,0,0,64535
23,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,1,0,0,59074
24,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,1,0,0,0,81110
25,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,1,0,0,0,69855
26,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,0,1,41215
27,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,0,44394
28,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,0,1,54514
29,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,1,0,0,48625
30,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,0,69855
31,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,0,0,1,64535
32,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,1,0,0,59074
33,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,1,0,69855
34,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,0,1,0,41215
35,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,0,1,40784
36,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,1,0,0,0,40784
37,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,1,0,0,69855
38,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,0,1,64394
39,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,1,0,0,40784
40,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,1,0,0,0,44635
41,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,1,0,40784
42,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,1,0,0,0,64535
43,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,0,1,0,37744
44,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,0,1,0,48625
45,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,1,0,0,48625
46,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,0,44394
47,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,1,0,0,64535
48,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,0,1,0,0,95740
49,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,1,0,0,40784
50,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,1,0,0,87760
51,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,0,1,59074
52,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,0,1,0,64394
53,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,0,0,1,48625
54,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,1,0,0,64394
55,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,1,0,97472
56,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,0,1,76125
57,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,0,0,1,95740
58,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,0,40784
59,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,1,0,0,97472
60,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,1,0,0,89492
61,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,0,40784
62,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,1,0,0,0,82652
63,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,0,59074
64,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,0,1,81110
65,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,0,1,0,37744
66,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,1,0,0,37744
67,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,1,0,0,0,37744
68,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,0,97472
69,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,1,0,0,44635
70,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,0,89492
71,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,1,0,0,0,95740
72,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,0,0,1,64394
73,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,0,95740
74,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,1,0,0,37744
75,1,296.0347511595893,230,90,0,1,0,0,0,0,1,0,0,0,0,0,1,44394
76,2,650.2676800234859,464,90,0,0,1,0,0,0,0,0,1,0,0,1,0,89492
77,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,1,0,0,0,59074
78,1,429.15928932709096,334,90,0,0,0,1,0,0,0,0,1,0,0,1,0,64394
79,1,507.4562962497442,395,90,0,0,0,1,0,1,0,0,0,0,0,1,0,76125
80,2,650.2676800234859,464,90,0,0,0,0,1,0,1,0,0,0,0,0,1,89492
81,3,650.2676800234859,428,90,0,0,0,0,1,0,1,0,0,0,1,0,0,82652
82,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,1,0,0,69855
83,2,323.90751532178933,231,90,0,0,1,0,0,0,0,1,0,0,0,0,1,44635
84,2,507.4562962497442,362,90,0,1,0,0,0,0,0,1,0,0,0,1,0,69855
85,3,507.4562962497442,334,90,0,0,0,1,0,1,0,0,0,0,0,1,0,64535
86,1,429.15928932709096,334,90,0,0,0,0,1,0,0,1,0,0,0,0,1,64394
87,1,323.90751532178933,252,90,0,0,0,1,0,0,1,0,0,0,0,0,1,48625
