,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_2,timespan_3,timespan_4,timespan_5,cost
0,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,0,1,0,33899
1,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,0,0,1,33899
2,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,1,0,0,11812
3,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,1,0,0,0,13912
4,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,0,1,0,33899
5,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,1,0,0,0,11812
6,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,1,0,0,0,11812
7,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,12712
8,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,1,0,0,0,14719
9,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,0,0,1,35479
10,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,0,0,1,28799
11,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,0,1,11812
12,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,1,0,0,42048
13,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,0,1,0,0,14719
14,2,384.3880645071777,274,90,1,0,0,1,0,0,1,0,0,0,0,0,1,42048
15,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,1,0,0,42048
16,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,0,0,1,45798
17,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,1,0,0,0,33899
18,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,1,0,0,13912
19,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,0,1,0,12712
20,2,384.3880645071777,274,90,1,0,0,1,0,0,1,0,0,0,1,0,0,42048
21,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,1,0,0,0,12712
22,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,1,0,0,0,11812
23,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,38629
24,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,1,0,0,38898
25,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,0,1,0,38629
26,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,1,32779
27,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,0,0,0,1,33899
28,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,1,0,0,0,17269
29,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,1,0,0,0,31199
30,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,38629
31,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,0,0,1,38898
32,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,0,0,1,42048
33,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,1,0,0,33899
34,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,0,0,0,1,13912
35,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,1,32779
36,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,0,0,0,1,13912
37,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,1,0,0,17269
38,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,0,0,1,12712
39,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,1,0,0,0,15919
40,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,1,0,0,13912
41,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,0,1,0,35479
42,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,1,0,0,0,13912
43,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15919
44,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,1,0,0,0,11812
45,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,1,0,38629
46,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,1,0,0,0,12712
47,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,1,0,0,14719
48,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,0,1,31199
49,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,1,0,0,0,11812
50,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,1,0,0,0,45798
51,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,1,0,17269
52,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,0,0,1,33899
53,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,1,0,0,0,42048
54,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,1,35479
55,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,0,0,1,0,11812
56,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,1,0,0,0,13912
57,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,0,0,1,33899
58,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,1,0,0,0,17269
59,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,1,28799
60,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,0,1,31199
61,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,0,1,0,45798
62,2,116.1316602594519,82,90,0,0,0,0,1,0,0,1,0,0,0,1,0,12712
63,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,1,0,0,31199
64,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,0,0,1,15919
65,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,0,0,0,1,11812
66,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,0,0,0,1,42048
67,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,0,1,0,0,38898
68,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,1,0,0,31199
69,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,1,38629
70,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,1,0,0,38629
71,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,1,0,0,31199
72,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,0,0,1,42048
73,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15919
74,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,0,1,38629
75,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,1,0,38898
76,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,1,0,0,0,15919
77,2,116.1316602594519,82,90,0,0,0,0,1,0,0,1,0,0,1,0,0,12712
78,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,0,0,1,0,38898
79,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,1,0,0,13912
80,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,1,0,0,0,38898
81,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,1,0,0,0,32779
82,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,1,0,0,13912
83,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,0,0,0,1,13912
84,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,1,0,0,0,11812
85,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,0,0,0,1,13912
86,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,1,0,0,11812
87,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,1,0,0,12712
88,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,1,0,0,14719
89,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,1,0,14719
90,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,1,0,0,32779
91,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,1,0,0,17269
92,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,1,0,0,13912
93,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,1,0,0,32779
94,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,1,0,0,0,38898
95,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,1,0,38629
96,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,0,1,0,0,32779
97,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,0,1,11812
98,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,14719
99,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,1,0,28799
100,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,1,28799
101,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,1,0,0,32779
102,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,1,0,0,0,17269
103,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,1,0,14719
104,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,1,0,35479
105,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,1,0,0,15919
106,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,1,0,17269
107,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,1,35479
108,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,1,0,15919
109,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,1,0,38629
110,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,1,0,0,0,38629
111,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,1,0,0,0,11812
112,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,1,28799
113,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,0,1,38898
114,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15919
115,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,1,0,0,13912
116,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,1,0,0,45798
117,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,0,1,14719
118,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,0,0,1,13912
119,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,0,1,0,12712
120,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,0,0,1,0,42048
121,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,1,0,0,0,11812
122,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,1,0,0,11812
123,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,0,0,1,31199
124,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,0,0,1,0,32779
125,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,1,0,31199
126,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,1,0,0,0,31199
127,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,1,0,0,38629
128,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,1,35479
129,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,0,1,11812
130,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,1,0,0,45798
131,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,0,0,1,0,42048
132,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,0,0,0,1,42048
133,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,0,0,1,11812
134,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,1,0,0,38898
135,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,1,0,0,0,11812
136,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,33899
137,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,0,0,0,1,12712
138,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,0,0,0,1,13912
139,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,0,1,17269
