,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Beijing,startLocation_Shijiazhuang,startLocation_Taiyuan,startLocation_Tianjin,endLocation_Beijing,endLocation_Shijiazhuang,endLocation_Taiyuan,endLocation_Tianjin,timespan_2,timespan_3,timespan_4,timespan_5,timespan_6,cost
0,3,369.5257904633235,243,90,1,0,0,1,0,1,0,0,0,0,0,1,0,0,61806
1,2,238.62308745286492,170,90,1,0,1,0,0,1,0,0,0,0,0,1,0,0,43255
2,1,369.5257904633235,287,90,1,1,0,0,0,0,0,1,0,0,0,0,0,1,72806
3,2,413.7816180343131,295,90,1,0,0,1,0,0,0,0,1,0,0,0,0,1,74908
4,2,249.51407691799224,178,90,1,0,0,0,1,0,1,0,0,0,0,0,0,1,45280
5,3,115.9264829993114,76,90,1,0,0,0,1,1,0,0,0,0,1,0,0,0,19473
6,3,369.5257904633235,243,90,1,0,0,1,0,1,0,0,0,1,0,0,0,0,61806
7,1,369.5257904633235,287,90,1,0,0,1,0,1,0,0,0,0,0,1,0,0,72806
8,2,175.76892590155305,125,90,1,0,0,1,0,0,1,0,0,0,1,0,0,0,31861
9,3,249.51407691799224,164,90,1,0,1,0,0,0,0,0,1,0,1,0,0,0,41780
10,3,413.7816180343131,272,90,1,0,0,0,1,0,0,1,0,0,0,1,0,0,69158
11,2,413.7816180343131,295,90,1,0,0,0,1,0,0,1,0,1,0,0,0,0,74908
12,1,369.5257904633235,287,90,1,0,0,1,0,1,0,0,0,0,0,1,0,0,72806
13,1,249.51407691799224,194,90,1,0,0,0,1,0,1,0,0,0,0,0,0,1,49280
14,1,413.7816180343131,322,90,1,0,0,1,0,0,0,0,1,0,1,0,0,0,81658
15,2,249.51407691799224,178,90,1,0,0,0,1,0,1,0,0,0,0,0,1,0,45280
16,2,175.76892590155305,125,90,1,0,0,1,0,0,1,0,0,0,0,0,0,1,31861
17,2,238.62308745286492,170,90,1,1,0,0,0,0,1,0,0,0,0,0,0,1,43255
18,2,238.62308745286492,170,90,1,1,0,0,0,0,1,0,0,0,0,0,1,0,43255
19,3,413.7816180343131,272,90,1,0,0,0,1,0,0,1,0,0,0,1,0,0,69158
20,1,413.7816180343131,322,90,1,0,0,0,1,0,0,1,0,0,0,0,0,1,81658
21,2,413.7816180343131,295,90,1,0,0,1,0,0,0,0,1,1,0,0,0,0,74908
