,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Chengdu,startLocation_Chongqing,startLocation_Guiyang,startLocation_Kunming,endLocation_Chengdu,endLocation_Chongqing,endLocation_Guiyang,endLocation_Kunming,timespan_1,timespan_2,timespan_3,timespan_4,cost
0,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,1,0,0,0,44354
1,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,1,0,0,0,40714
2,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,1,0,28124
3,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,0,0,1,48135
4,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,0,1,0,0,37594
5,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,0,1,28124
6,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,0,0,1,0,55910
7,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,1,0,0,0,65920
8,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,1,0,0,48135
9,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,0,65920
10,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,0,1,37594
11,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,0,1,40714
12,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,0,0,1,40714
13,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,1,0,28435
14,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,0,1,60460
15,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,0,1,44354
16,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,1,0,0,67112
17,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,1,0,0,30775
18,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,0,30594
19,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,0,1,0,61652
20,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,0,0,1,30594
21,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,0,40714
22,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,1,0,0,0,33505
23,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,1,0,0,40714
24,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,1,0,44354
25,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,0,33505
26,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,0,0,1,33505
27,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,1,0,0,0,26044
28,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,0,1,0,0,37594
29,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,1,0,0,0,61652
30,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,0,1,60460
31,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,1,0,0,0,67112
32,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,0,60460
33,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,1,0,0,52425
34,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,1,0,0,0,48135
35,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,0,0,1,26044
36,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,1,0,0,61652
37,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,1,0,0,60460
38,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,0,67112
39,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,0,61652
40,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,0,48135
41,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,1,0,0,52425
42,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,0,61652
43,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,1,0,0,0,44354
44,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,1,0,0,0,55910
45,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,0,37594
46,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,0,60460
47,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,0,0,1,30775
48,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,1,0,0,0,55910
49,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,0,1,0,52425
50,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,1,0,37594
51,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,0,1,0,40714
52,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,0,0,1,56972
53,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,0,0,0,1,55910
54,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,1,0,0,0,28124
55,1,296.0347511595893,230,90,1,1,0,0,0,0,1,0,0,0,1,0,0,30594
56,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,0,37594
57,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,1,0,55910
58,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,0,1,55910
59,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,0,1,0,0,55910
60,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,1,0,37594
61,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,0,0,1,0,37594
62,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,1,0,0,0,28124
63,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,0,0,1,33505
64,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,0,1,48135
65,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,0,0,1,44495
66,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,0,40714
67,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,1,0,0,0,26044
68,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,0,1,0,33505
69,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,1,0,0,30775
70,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,0,1,0,30594
71,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,1,0,37594
72,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,0,61652
73,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,0,1,28435
74,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,0,1,0,44354
75,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,0,61652
76,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,0,1,44354
77,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,0,0,1,44495
78,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,0,1,67112
79,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,0,0,1,33505
80,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,0,0,1,37594
81,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,0,0,1,30775
82,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,1,0,0,60460
83,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,0,0,1,65920
84,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,0,0,1,28124
85,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,1,0,0,48135
86,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,1,0,0,44495
87,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,1,0,0,26044
88,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,0,33505
89,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,0,33505
90,1,296.0347511595893,230,90,0,1,0,0,0,0,1,0,0,0,0,0,1,30594
91,2,650.2676800234859,464,90,0,0,1,0,0,0,0,0,1,1,0,0,0,61652
92,1,507.4562962497442,395,90,0,1,0,0,0,0,0,1,0,0,0,1,0,52425
93,2,296.0347511595893,211,90,0,0,1,0,0,1,0,0,0,0,0,1,0,28124
94,3,296.0347511595893,195,90,0,1,0,0,0,0,1,0,0,0,0,1,0,26044
95,2,296.0347511595893,211,90,0,1,0,0,0,0,1,0,0,0,0,0,1,28124
96,3,637.9145943128929,420,90,0,1,0,0,0,0,0,0,1,0,0,0,1,55910
97,2,637.9145943128929,455,90,0,1,0,0,0,0,0,0,1,0,0,0,1,60460
98,1,429.15928932709096,334,90,0,0,0,1,0,0,0,0,1,1,0,0,0,44354
99,1,429.15928932709096,334,90,0,0,0,1,0,0,0,0,1,0,1,0,0,44354
100,2,650.2676800234859,464,90,0,0,1,0,0,0,0,0,1,0,1,0,0,61652
101,1,637.9145943128929,497,90,0,0,0,0,1,1,0,0,0,1,0,0,0,65920
102,3,323.90751532178933,213,90,0,0,0,1,0,0,1,0,0,0,0,0,1,28435
103,3,637.9145943128929,420,90,0,0,0,0,1,1,0,0,0,0,0,1,0,55910
104,1,323.90751532178933,252,90,0,0,1,0,0,0,0,1,0,0,0,1,0,33505
105,2,507.4562962497442,362,90,0,1,0,0,0,0,0,1,0,0,1,0,0,48135
106,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,0,0,1,0,40714
107,1,507.4562962497442,395,90,0,1,0,0,0,0,0,1,0,0,0,1,0,52425
108,1,296.0347511595893,230,90,0,1,0,0,0,0,1,0,0,0,0,1,0,30594
109,3,296.0347511595893,195,90,0,1,0,0,0,0,1,0,0,0,0,0,1,26044
110,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,0,0,1,0,40714
111,2,296.0347511595893,211,90,0,1,0,0,0,0,1,0,0,0,1,0,0,28124
112,1,507.4562962497442,395,90,0,1,0,0,0,0,0,1,0,0,0,0,1,52425
113,3,323.90751532178933,213,90,0,0,0,1,0,0,1,0,0,0,0,0,1,28435
114,2,429.15928932709096,306,90,0,0,0,0,1,0,0,1,0,0,0,0,1,40714
115,3,507.4562962497442,334,90,0,1,0,0,0,0,0,1,0,0,0,1,0,44495
116,3,637.9145943128929,420,90,0,0,0,0,1,1,0,0,0,1,0,0,0,55910
117,1,296.0347511595893,230,90,0,1,0,0,0,0,1,0,0,0,0,1,0,30594
118,1,323.90751532178933,252,90,0,0,0,1,0,0,1,0,0,0,0,0,1,33505
119,2,650.2676800234859,464,90,0,0,1,0,0,0,0,0,1,0,1,0,0,61652
120,2,296.0347511595893,211,90,0,0,1,0,0,1,0,0,0,0,0,1,0,28124
121,3,296.0347511595893,195,90,0,0,1,0,0,1,0,0,0,0,1,0,0,26044
122,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,1,0,0,0,40714
123,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,0,1,0,48135
124,3,507.4562962497442,334,90,0,1,0,0,0,0,0,1,0,0,0,1,0,44495
125,3,507.4562962497442,334,90,0,0,0,1,0,1,0,0,0,0,0,1,0,44495
126,2,507.4562962497442,362,90,0,1,0,0,0,0,0,1,0,0,1,0,0,48135
127,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,0,1,0,48135
128,1,637.9145943128929,497,90,0,1,0,0,0,0,0,0,1,0,0,1,0,65920
129,3,507.4562962497442,334,90,0,1,0,0,0,0,0,1,0,0,0,1,0,44495
130,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,1,0,0,48135
131,1,323.90751532178933,252,90,0,0,1,0,0,0,0,1,0,1,0,0,0,33505
132,1,323.90751532178933,252,90,0,0,1,0,0,0,0,1,0,1,0,0,0,33505
133,3,637.9145943128929,420,90,0,1,0,0,0,0,0,0,1,0,0,0,1,55910
134,2,637.9145943128929,455,90,0,0,0,0,1,1,0,0,0,0,0,0,1,60460
135,3,650.2676800234859,428,90,0,0,1,0,0,0,0,0,1,0,1,0,0,56972
136,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,1,0,0,0,48135
137,1,507.4562962497442,395,90,0,0,0,1,0,1,0,0,0,0,1,0,0,52425
138,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,0,0,1,48135
139,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,1,0,0,0,40714
140,3,650.2676800234859,428,90,0,0,0,0,1,0,1,0,0,1,0,0,0,56972
141,2,637.9145943128929,455,90,0,1,0,0,0,0,0,0,1,0,0,0,1,60460
142,2,296.0347511595893,211,90,0,1,0,0,0,0,1,0,0,0,1,0,0,28124
143,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,0,0,1,0,40714
144,3,323.90751532178933,213,90,0,0,0,1,0,0,1,0,0,0,1,0,0,28435
145,3,637.9145943128929,420,90,0,0,0,0,1,1,0,0,0,0,0,0,1,55910
146,3,323.90751532178933,213,90,0,0,1,0,0,0,0,1,0,0,0,0,1,28435
147,1,296.0347511595893,230,90,0,0,1,0,0,1,0,0,0,0,1,0,0,30594
148,2,637.9145943128929,455,90,0,1,0,0,0,0,0,0,1,1,0,0,0,60460
149,3,323.90751532178933,213,90,0,0,0,1,0,0,1,0,0,1,0,0,0,28435
150,3,296.0347511595893,195,90,0,0,1,0,0,1,0,0,0,0,0,1,0,26044
151,2,323.90751532178933,231,90,0,0,1,0,0,0,0,1,0,0,1,0,0,30775
152,3,323.90751532178933,213,90,0,0,1,0,0,0,0,1,0,0,0,0,1,28435
153,2,323.90751532178933,231,90,0,0,0,1,0,0,1,0,0,0,1,0,0,30775
154,2,507.4562962497442,362,90,0,0,0,1,0,1,0,0,0,0,1,0,0,48135
155,2,429.15928932709096,306,90,0,0,0,1,0,0,0,0,1,1,0,0,0,40714
156,1,507.4562962497442,395,90,0,1,0,0,0,0,0,1,0,0,1,0,0,52425
157,2,429.15928932709096,306,90,0,0,0,0,1,0,0,1,0,0,0,1,0,40714
158,2,650.2676800234859,464,90,0,0,1,0,0,0,0,0,1,0,0,0,1,61652
159,3,507.4562962497442,334,90,0,0,0,1,0,1,0,0,0,0,1,0,0,44495
160,1,429.15928932709096,334,90,0,0,0,0,1,0,0,1,0,0,0,1,0,44354
161,2,637.9145943128929,455,90,0,0,0,0,1,1,0,0,0,0,0,0,1,60460
162,2,637.9145943128929,455,90,0,1,0,0,0,0,0,0,1,0,0,1,0,60460
163,3,296.0347511595893,195,0,0,1,0,0,0,0,1,0,0,1,0,0,0,25882
164,1,650.2676800234859,506,0,0,0,1,0,0,0,0,0,1,1,0,0,0,66950
165,1,296.0347511595893,230,0,0,1,0,0,0,0,1,0,0,0,0,0,1,30432
166,1,650.2676800234859,506,0,0,0,0,0,1,0,1,0,0,0,1,0,0,66950
167,1,507.4562962497442,395,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52263
168,2,429.15928932709096,306,0,0,0,0,1,0,0,0,0,1,0,1,0,0,40552
169,1,429.15928932709096,334,0,0,0,0,1,0,0,0,0,1,0,0,1,0,44192
170,3,296.0347511595893,195,0,0,1,0,0,0,0,1,0,0,0,1,0,0,25882
171,2,650.2676800234859,464,0,0,0,1,0,0,0,0,0,1,1,0,0,0,61490
172,2,323.90751532178933,231,0,0,0,0,1,0,0,1,0,0,0,1,0,0,30613
173,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,0,0,0,1,55748
174,3,323.90751532178933,213,0,0,0,1,0,0,0,0,1,0,1,0,0,0,28273
175,3,650.2676800234859,428,0,0,0,1,0,0,0,0,0,1,0,0,1,0,56810
176,3,637.9145943128929,420,0,0,0,0,0,1,1,0,0,0,0,0,0,1,55748
177,1,429.15928932709096,334,0,0,0,0,0,1,0,0,1,0,0,0,0,1,44192
178,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,0,0,0,1,55748
179,2,507.4562962497442,362,0,0,0,0,1,0,1,0,0,0,0,0,0,1,47973
180,2,296.0347511595893,211,0,0,0,1,0,0,1,0,0,0,0,1,0,0,27962
181,2,507.4562962497442,362,0,0,1,0,0,0,0,0,1,0,0,0,0,1,47973
182,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,1,0,0,0,52263
183,1,323.90751532178933,252,0,0,0,1,0,0,0,0,1,0,0,1,0,0,33343
184,1,296.0347511595893,230,0,0,0,1,0,0,1,0,0,0,0,0,0,1,30432
185,2,507.4562962497442,362,0,0,1,0,0,0,0,0,1,0,0,0,1,0,47973
186,2,507.4562962497442,362,0,0,1,0,0,0,0,0,1,0,0,0,1,0,47973
187,1,296.0347511595893,230,0,0,1,0,0,0,0,1,0,0,0,1,0,0,30432
188,2,296.0347511595893,211,0,0,1,0,0,0,0,1,0,0,1,0,0,0,27962
189,3,650.2676800234859,428,0,0,0,0,0,1,0,1,0,0,0,1,0,0,56810
190,2,323.90751532178933,231,0,0,0,0,1,0,0,1,0,0,0,0,1,0,30613
191,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,0,1,0,0,55748
192,3,507.4562962497442,334,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44333
193,2,429.15928932709096,306,0,0,0,0,0,1,0,0,1,0,0,1,0,0,40552
194,2,296.0347511595893,211,0,0,1,0,0,0,0,1,0,0,1,0,0,0,27962
195,1,429.15928932709096,334,0,0,0,0,0,1,0,0,1,0,0,1,0,0,44192
196,3,637.9145943128929,420,0,0,0,0,0,1,1,0,0,0,1,0,0,0,55748
197,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,0,0,0,1,52263
198,1,296.0347511595893,230,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30432
199,2,637.9145943128929,455,0,0,0,0,0,1,1,0,0,0,0,1,0,0,60298
200,3,323.90751532178933,213,0,0,0,1,0,0,0,0,1,0,0,0,0,1,28273
201,1,650.2676800234859,506,0,0,0,0,0,1,0,1,0,0,0,1,0,0,66950
202,2,650.2676800234859,464,0,0,0,1,0,0,0,0,0,1,0,0,1,0,61490
203,1,650.2676800234859,506,0,0,0,0,0,1,0,1,0,0,0,0,0,1,66950
204,2,323.90751532178933,231,0,0,0,0,1,0,0,1,0,0,1,0,0,0,30613
205,1,296.0347511595893,230,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30432
206,3,296.0347511595893,195,0,0,0,1,0,0,1,0,0,0,0,0,1,0,25882
207,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52263
208,3,429.15928932709096,282,0,0,0,0,1,0,0,0,0,1,0,1,0,0,37432
