,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Chengdu,startLocation_Chongqing,startLocation_Guiyang,startLocation_Kunming,endLocation_Chengdu,endLocation_Chongqing,endLocation_Guiyang,endLocation_Kunming,timespan_2,timespan_3,timespan_4,cost
0,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,53458
1,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,1,0,96496
2,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,1,0,53458
3,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,64934
4,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,1,0,41451
5,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,1,0,0,90842
6,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,1,0,0,89146
7,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,1,0,0,49048
8,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,1,0,83726
9,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,1,0,45268
10,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,1,0,44811
11,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,1,0,49048
12,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,1,0,0,70814
13,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,1,76796
14,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,1,0,0,96496
15,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,1,0,96496
16,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,107222
17,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,0,1,41451
18,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,1,0,45268
19,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,1,0,89146
20,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,1,0,0,76796
21,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,1,0,0,59894
22,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,1,0,0,83726
23,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,1,0,0,89146
24,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,0,1,96496
25,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,1,0,70916
26,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,1,0,49048
27,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,53458
28,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,1,0,107222
29,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,1,0,0,70916
30,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,107222
31,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,1,0,70916
32,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,0,1,0,89146
33,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,1,0,0,76796
34,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,105316
35,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,1,0,0,83726
36,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,59894
37,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,1,0,0,98402
38,1,296.0347511595893,230,90,1,1,0,0,0,0,1,0,0,1,0,0,48801
39,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,64934
40,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,0,0,1,105316
41,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,1,0,0,107222
42,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
43,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,0,1,90842
44,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,1,0,70916
45,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,0,1,98402
46,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,1,0,0,96496
47,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,0,1,53458
48,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,1,0,45268
49,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,1,0,0,96496
50,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,0,1,90842
51,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,0,1,48801
52,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,96496
53,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,1,0,0,70916
54,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,98402
55,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,1,0,0,70814
