,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_2,timespan_3,timespan_4,timespan_5,cost
0,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,1,0,51617
1,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,1,0,51617
2,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,0,1,0,0,55937
3,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,1,0,0,18487
4,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,0,1,21847
5,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,0,0,1,0,19927
6,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,0,1,18487
7,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,0,1,49169
8,1,144.91306819366292,112,90,1,0,0,0,1,1,0,0,0,0,1,0,0,27161
9,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,1,0,0,0,18487
10,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,0,1,0,60977
11,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,1,0,0,51617
12,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,0,1,0,21847
13,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,0,1,0,53489
14,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,1,0,0,18487
15,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,1,0,0,0,18487
16,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
17,1,116.09922555340886,90,90,1,1,0,0,0,0,0,1,0,1,0,0,0,21847
18,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,0,0,1,61289
19,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,0,0,1,0,19927
20,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,1,0,0,0,66329
21,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,1,0,19927
22,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,1,0,21847
23,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,1,60977
24,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,1,51617
25,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,1,0,0,0,72329
26,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,1,51617
