,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Beijing,startLocation_Shijiazhuang,startLocation_Taiyuan,startLocation_Tianjin,endLocation_Beijing,endLocation_Shijiazhuang,endLocation_Taiyuan,endLocation_Tianjin,timespan_2,timespan_3,timespan_4,timespan_5,cost
0,1,238.62308745286492,185,90,1,0,1,0,0,1,0,0,0,0,1,0,0,33957
1,3,249.51407691799224,164,90,1,0,1,0,0,0,0,0,1,1,0,0,0,30199
2,1,115.9264829993114,90,90,1,0,0,0,1,1,0,0,0,0,0,0,1,16611
3,1,238.62308745286492,185,90,1,1,0,0,0,0,1,0,0,0,0,0,1,33957
4,2,115.9264829993114,82,90,1,1,0,0,0,0,0,0,1,0,0,0,1,15171
5,3,249.51407691799224,164,90,1,0,1,0,0,0,0,0,1,0,0,0,1,30199
6,3,413.7816180343131,272,90,1,0,0,1,0,0,0,0,1,0,0,0,1,49967
7,3,413.7816180343131,272,90,1,0,0,0,1,0,0,1,0,0,0,1,0,49967
8,1,413.7816180343131,322,90,1,0,0,1,0,0,0,0,1,1,0,0,0,58967
9,3,175.76892590155305,115,90,1,0,0,1,0,0,1,0,0,0,0,0,1,21231
10,2,413.7816180343131,295,90,1,0,0,1,0,0,0,0,1,0,0,0,1,54107
11,2,369.5257904633235,263,90,1,0,0,1,0,1,0,0,0,1,0,0,0,48259
12,3,175.76892590155305,115,90,1,0,1,0,0,0,0,1,0,1,0,0,0,21231
13,2,369.5257904633235,263,90,1,0,0,1,0,1,0,0,0,1,0,0,0,48259
14,1,249.51407691799224,194,90,1,0,1,0,0,0,0,0,1,0,0,1,0,35599
15,3,175.76892590155305,115,90,1,0,0,1,0,0,1,0,0,1,0,0,0,21231
16,2,238.62308745286492,170,90,1,0,1,0,0,1,0,0,0,0,0,1,0,31257
17,3,249.51407691799224,164,90,1,0,0,0,1,0,1,0,0,1,0,0,0,30199
18,3,249.51407691799224,164,90,1,0,1,0,0,0,0,0,1,0,0,0,1,30199
19,3,249.51407691799224,164,90,1,0,0,0,1,0,1,0,0,0,0,1,0,30199
20,1,115.9264829993114,90,90,1,0,0,0,1,1,0,0,0,0,1,0,0,16611
21,3,413.7816180343131,272,90,1,0,0,1,0,0,0,0,1,0,0,0,1,49967
22,2,413.7816180343131,295,90,1,0,0,1,0,0,0,0,1,0,1,0,0,54107
