Ping,JDBC
0.6740952,2.083
0.5628571,2.0435
0.66857153,2.1275
0.5820476,2.0205
0.54481816,2.1296
0.5722857,2.0731
0.54665005,1.9897
0.613,2.155
0.67833334,2.0885
0.5065789,1.9116
0.6517895,1.8698
0.6648,1.9508
0.5468421,1.8849
0.5555239,2.02
0.63500005,1.9517
0.6113,1.9442
0.52014995,1.9911
0.55325,1.9677
0.52425003,1.929
0.5263,1.9406
0.5701904,2.0497
0.5484,1.9451
0.5420001,2.0268
0.56976193,2.0415
0.5441363,2.1409
0.57657146,2.075
0.64594996,2.011
0.5337143,2.0217
0.553,2.0813
0.5803809,2.0356
0.53138095,2.0296
0.6292727,2.1167
0.6539048,2.0376
0.60295457,2.1689
0.71754545,2.1049
0.52771425,2.0916
0.5356191,2.042
0.6383636,2.1816
0.57140905,2.133
0.70449996,2.1706
0.58427274,2.1377
0.5417273,2.1191
0.57245445,2.1727
0.5853913,2.2195
0.57060874,2.2191
0.6750455,2.2023
0.558,2.1505
0.74556506,2.2542
0.57943475,2.2654
0.5524783,2.2979
0.8068799,2.4565
0.539913,2.2399
0.5172174,2.2105
0.71865225,2.2874
0.59300005,2.2169
0.61017376,2.313
0.69360864,2.2185
0.54834783,2.2088
0.58282614,2.2246
0.5436364,2.1673
0.5487273,2.1629
0.59724,2.4446
0.6016364,2.1294
0.579913,2.2032
0.5232273,2.142
0.5832273,2.1837
0.55139124,2.233
0.5141905,2.0521
0.62039125,2.2366
0.6066363,2.1551
0.58608705,2.3279
0.60277265,2.154
0.57372725,2.141
0.5651429,2.1062
0.7856521,2.2188
0.79045826,2.3342
0.5735909,2.2037
0.65099996,2.1502
0.66076195,2.0637
0.7144286,2.0831
0.5721905,2.0759
0.56214285,2.083
0.6849091,2.1849
0.56204766,2.0444
0.52663636,2.1531
0.6764091,2.1367
0.72909087,2.1192
0.5589524,2.1058
0.63831824,2.1886
0.54936355,2.1026
0.5929091,2.1889
0.5713636,2.1319
0.66127276,2.1577
0.5664545,2.1034
0.68100005,2.1149
0.58077264,2.1795
0.6315,2.1906
0.6312857,2.0292
0.7674091,2.1424
0.67418176,2.1392
0.579091,2.1581
0.58142865,2.0801
0.57665217,2.2158
0.73188,2.4457
0.5997727,2.153
0.59414285,2.0279
0.626913,2.2117
0.66295457,2.1516
0.58913636,2.1502
0.55881816,2.1747
0.5635714,2.0498
0.54950005,2.129
0.57673913,2.2244
0.5405238,2.0752
0.535381,2.124
0.61550003,2.1748
0.5457144,2.0814
0.57085717,2.0185
0.56454545,2.1431
0.64299995,2.0493
0.57940906,2.1013
0.5252857,2.0276
0.54485714,2.055
0.5820909,2.1288
0.5394761,2.0276
0.58286357,2.1173
0.5656818,2.1828
0.58161896,2.0615
0.59572726,2.1544
0.6073637,2.1668
0.5498636,2.1414
0.71104544,2.1491
0.6388636,2.1768
0.57004756,2.0707
0.57624,2.4535
0.528762,2.0721
0.54257154,2.0218
0.6257143,2.0862
0.68196,2.4259
0.54718184,2.1208
0.5527619,2.0199
0.6464286,2.0627
0.57095456,2.1331
0.6063182,2.1653
0.6925652,2.2059
0.65487504,2.3098
0.71429163,2.3965
0.67137504,2.3412
0.56322724,2.165
0.721,2.1979
0.6005653,2.2075
0.54960865,2.258
0.5943479,2.284
0.7305714,2.7844
0.7282083,2.3324
0.53823805,2.099
0.5644091,2.1484
0.78634775,2.2674
0.5703182,2.1182
0.732,2.6873
0.7264,2.4307
0.59479165,2.3986
0.70781827,2.1447
0.7070833,2.3154
0.73925,2.3916
0.6063334,2.3801
0.68284607,2.539
0.7773333,2.3578
0.64500004,2.282
0.5885909,2.1429
0.6027826,2.2226
0.72336364,2.1879
0.7113704,2.6638
0.75729036,3.0776
0.7542591,2.642
0.6810834,2.338
0.82445836,2.3567
0.57688,2.4643
0.6768399,2.4853
0.8032501,3.1571
0.5859167,2.3605
0.80219454,3.5958
0.7044516,3.0347
0.69536,2.4364
0.68195826,2.355
0.63299996,2.0945
0.5865714,2.1166
0.53699994,2.1014
0.54547614,2.0048
0.6306501,1.9654
0.57476187,2.0785
0.5851905,2.0846
0.6241364,2.2065
0.6041818,2.1176
0.60169554,2.2411
0.67391664,2.3815
0.58144003,2.4196
0.82359385,3.1494
0.69750005,2.7417
0.7082857,2.7244
0.81515145,3.2909
0.8178501,3.9498
0.77835304,3.3738
0.6770417,2.3426
0.6629999,2.2972
0.5781818,2.2002
0.6734167,2.3153
0.7199566,2.2183
0.629913,2.2928
0.681087,2.2727
0.61075,2.3683
0.82699996,2.7681
0.6864827,2.8064
0.6987408,2.6346
0.66976935,2.5437
0.7554644,2.7699
0.8514668,2.9695
0.6919259,2.6817
0.80234474,2.891
0.66448146,2.6169
0.57268,2.4542
0.6472916,2.3235
0.5672273,2.197
0.5815238,2.0425
0.70100003,2.1869
0.73795456,2.1093
0.5605238,2.0749
0.64423805,2.0538
