,Age,workclass,People,Education,EduNum,Marriage,WorkType,Family,Race,Sex,capitalgain,capitalloss,hours,Country,IncomeRes
0,25,0.0,226802,0.0,7,0.0,0.0,0.0,0.0,0.0,0,0,40,0.0,0.0
1,38,0.0,89814,1.0,9,1.0,1.0,1.0,1.0,0.0,0,0,50,0.0,0.0
2,28,1.0,336951,2.0,12,1.0,2.0,1.0,1.0,0.0,0,0,40,0.0,1.0
3,44,0.0,160323,3.0,10,1.0,0.0,1.0,0.0,0.0,7688,0,40,0.0,1.0
4,18,2.0,103497,3.0,10,0.0,3.0,0.0,1.0,1.0,0,0,30,0.0,0.0
5,34,0.0,198693,4.0,6,0.0,4.0,2.0,1.0,0.0,0,0,30,0.0,0.0
6,29,2.0,227026,1.0,9,0.0,3.0,3.0,0.0,0.0,0,0,40,0.0,0.0
7,63,3.0,104626,5.0,15,1.0,5.0,1.0,1.0,0.0,3103,0,32,0.0,1.0
8,24,0.0,369667,3.0,10,0.0,4.0,3.0,1.0,1.0,0,0,40,0.0,0.0
9,55,0.0,104996,6.0,4,1.0,6.0,1.0,1.0,0.0,0,0,10,0.0,0.0
10,65,0.0,184454,1.0,9,1.0,0.0,1.0,1.0,0.0,6418,0,40,0.0,1.0
11,36,4.0,212465,7.0,13,1.0,7.0,1.0,1.0,0.0,0,0,40,0.0,0.0
12,26,0.0,82091,1.0,9,0.0,7.0,2.0,1.0,1.0,0,0,39,0.0,0.0
13,58,2.0,299831,1.0,9,1.0,3.0,1.0,1.0,0.0,0,0,35,0.0,0.0
14,48,0.0,279724,1.0,9,1.0,0.0,1.0,1.0,0.0,3103,0,48,0.0,1.0
15,43,0.0,346189,8.0,14,1.0,8.0,1.0,1.0,0.0,0,0,50,0.0,1.0
16,20,5.0,444554,3.0,10,0.0,4.0,0.0,1.0,0.0,0,0,25,0.0,0.0
17,43,0.0,128354,1.0,9,1.0,7.0,4.0,1.0,1.0,0,0,30,0.0,0.0
18,37,0.0,60548,1.0,9,2.0,0.0,3.0,1.0,1.0,0,0,20,0.0,0.0
19,40,0.0,85019,9.0,16,1.0,5.0,1.0,2.0,0.0,0,0,45,1.0,1.0
20,34,0.0,107914,7.0,13,1.0,9.0,1.0,1.0,0.0,0,0,47,0.0,1.0
21,34,0.0,238588,3.0,10,0.0,4.0,0.0,0.0,1.0,0,0,35,0.0,0.0
22,72,2.0,132015,6.0,4,3.0,3.0,2.0,1.0,1.0,0,0,6,0.0,0.0
23,25,0.0,220931,7.0,13,0.0,5.0,2.0,1.0,0.0,0,0,43,2.0,0.0
24,25,0.0,205947,7.0,13,1.0,5.0,1.0,1.0,0.0,0,0,40,0.0,0.0
25,45,3.0,432824,1.0,9,1.0,6.0,1.0,1.0,0.0,7298,0,90,0.0,1.0
26,22,0.0,236427,1.0,9,0.0,7.0,0.0,1.0,0.0,0,0,20,0.0,0.0
27,23,0.0,134446,1.0,9,4.0,0.0,3.0,0.0,0.0,0,0,54,0.0,0.0
28,54,0.0,99516,1.0,9,1.0,6.0,1.0,1.0,0.0,0,0,35,0.0,0.0
29,32,3.0,109282,3.0,10,0.0,5.0,2.0,1.0,0.0,0,0,60,0.0,0.0
30,46,5.0,106444,3.0,10,1.0,8.0,1.0,0.0,0.0,7688,0,38,0.0,1.0
31,56,3.0,186651,0.0,7,2.0,4.0,3.0,1.0,1.0,0,0,50,0.0,0.0
32,24,3.0,188274,7.0,13,0.0,10.0,2.0,1.0,0.0,0,0,50,0.0,0.0
33,23,1.0,258120,3.0,10,1.0,2.0,1.0,1.0,0.0,0,0,40,0.0,0.0
34,26,0.0,43311,1.0,9,3.0,8.0,3.0,1.0,1.0,0,0,40,0.0,0.0
35,65,2.0,191846,1.0,9,1.0,3.0,1.0,1.0,0.0,0,0,40,0.0,0.0
36,36,1.0,403681,7.0,13,1.0,5.0,1.0,1.0,0.0,0,0,40,0.0,1.0
37,22,0.0,248446,10.0,3,0.0,11.0,2.0,1.0,0.0,0,0,50,3.0,0.0
38,17,0.0,269430,4.0,6,0.0,0.0,2.0,1.0,0.0,0,0,40,0.0,0.0
39,20,0.0,257509,1.0,9,0.0,6.0,0.0,1.0,0.0,0,0,40,0.0,0.0
40,65,0.0,136384,8.0,14,1.0,5.0,1.0,1.0,0.0,0,0,50,0.0,1.0
