,Age,workclass,People,Education,EduNum,Marriage,WorkType,Family,Race,Sex,capitalgain,capitalloss,hours,Country,IncomeRes
0,39,0.0,77516,0.0,13,0.0,0.0,0.0,0.0,0.0,2174,0,40,0.0,0.0
1,50,1.0,83311,0.0,13,1.0,1.0,1.0,0.0,0.0,0,0,13,0.0,0.0
2,38,2.0,215646,1.0,9,2.0,2.0,0.0,0.0,0.0,0,0,40,0.0,0.0
3,53,2.0,234721,2.0,7,1.0,2.0,1.0,1.0,0.0,0,0,40,0.0,0.0
4,28,2.0,338409,0.0,13,1.0,3.0,2.0,1.0,1.0,0,0,40,1.0,0.0
5,37,2.0,284582,3.0,14,1.0,1.0,2.0,0.0,1.0,0,0,40,0.0,0.0
6,49,2.0,160187,4.0,5,3.0,4.0,0.0,1.0,1.0,0,0,16,2.0,0.0
7,52,1.0,209642,1.0,9,1.0,1.0,1.0,0.0,0.0,0,0,45,0.0,1.0
8,31,2.0,45781,3.0,14,0.0,3.0,0.0,0.0,1.0,14084,0,50,0.0,1.0
9,42,2.0,159449,0.0,13,1.0,1.0,1.0,0.0,0.0,5178,0,40,0.0,1.0
10,37,2.0,280464,5.0,10,1.0,1.0,1.0,1.0,0.0,0,0,80,0.0,1.0
11,30,0.0,141297,0.0,13,1.0,3.0,1.0,2.0,0.0,0,0,40,3.0,1.0
12,23,2.0,122272,0.0,13,0.0,0.0,3.0,0.0,1.0,0,0,30,0.0,0.0
13,32,2.0,205019,6.0,12,0.0,5.0,0.0,1.0,0.0,0,0,50,0.0,0.0
14,40,2.0,121772,7.0,11,1.0,6.0,1.0,2.0,0.0,0,0,40,4.0,1.0
15,34,2.0,245487,8.0,4,1.0,7.0,1.0,3.0,0.0,0,0,45,5.0,0.0
16,25,1.0,176756,1.0,9,0.0,8.0,3.0,0.0,0.0,0,0,35,0.0,0.0
17,32,2.0,186824,1.0,9,0.0,9.0,4.0,0.0,0.0,0,0,40,0.0,0.0
18,38,2.0,28887,2.0,7,1.0,5.0,1.0,0.0,0.0,0,0,50,0.0,0.0
19,43,1.0,292175,3.0,14,2.0,1.0,4.0,0.0,1.0,0,0,45,0.0,1.0
20,40,2.0,193524,9.0,16,1.0,3.0,1.0,0.0,0.0,0,0,60,0.0,1.0
21,54,2.0,302146,1.0,9,4.0,4.0,4.0,1.0,1.0,0,0,20,0.0,0.0
22,35,3.0,76845,4.0,5,1.0,8.0,1.0,1.0,0.0,0,0,40,0.0,0.0
23,43,2.0,117037,2.0,7,1.0,7.0,1.0,0.0,0.0,0,2042,40,0.0,0.0
24,59,2.0,109015,1.0,9,2.0,10.0,4.0,0.0,1.0,0,0,40,0.0,0.0
25,56,4.0,216851,0.0,13,1.0,10.0,1.0,0.0,0.0,0,0,40,0.0,1.0
26,19,2.0,168294,1.0,9,0.0,6.0,3.0,0.0,0.0,0,0,40,0.0,0.0
27,54,5.0,180211,5.0,10,1.0,11.0,1.0,2.0,0.0,0,0,60,6.0,1.0
28,39,2.0,367260,1.0,9,2.0,1.0,0.0,0.0,0.0,0,0,80,0.0,0.0
