,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,20,0.0,80.0,11622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,56,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,144.0,270.0,882.0,0.0,0.0,0.0,0.0,896,0,0,896,0.0,0.0,1,0,2,1,0.0,5,0.0,0,0.0,0.0,56,0.0,1.0,730.0,0.0,0.0,0.0,140,0,0,0,120,0,0.0,0.0,0.0,0,6,7,0.0,0.0
1,20,1.0,81.0,14267,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6,59,59,1.0,0.0,1.0,1.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,923.0,1.0,0.0,406.0,1329.0,0.0,0.0,0.0,0.0,1329,0,0,1329,0.0,0.0,1,1,3,1,1.0,6,0.0,0,0.0,0.0,59,0.0,1.0,312.0,0.0,0.0,0.0,393,36,0,0,0,0,0.0,1.0,1.0,12500,6,7,0.0,0.0
2,60,1.0,74.0,13830,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5,5,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,791.0,1.0,0.0,137.0,928.0,0.0,1.0,0.0,0.0,928,701,0,1629,0.0,0.0,2,1,3,1,0.0,6,0.0,1,1.0,0.0,20,1.0,2.0,482.0,0.0,0.0,0.0,212,34,0,0,0,0,0.0,0.0,0.0,0,3,7,0.0,0.0
3,60,1.0,78.0,9978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6,6,19,19,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,602.0,1.0,0.0,324.0,926.0,0.0,2.0,0.0,0.0,926,678,0,1604,0.0,0.0,2,1,3,1,1.0,7,0.0,1,2.0,0.0,19,1.0,2.0,470.0,0.0,0.0,0.0,360,36,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
4,120,1.0,43.0,5005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,8,5,25,25,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,263.0,1.0,0.0,1017.0,1280.0,0.0,2.0,0.0,0.0,1280,0,0,1280,0.0,0.0,2,0,2,1,1.0,5,0.0,0,0.0,0.0,25,2.0,2.0,506.0,0.0,0.0,0.0,0,82,0,0,144,0,0.0,1.0,0.0,0,1,7,0.0,0.0
5,60,1.0,75.0,10000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6,5,24,23,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,763.0,763.0,0.0,1.0,0.0,0.0,763,892,0,1655,0.0,0.0,2,1,3,1,0.0,7,0.0,1,1.0,0.0,24,1.0,2.0,440.0,0.0,0.0,0.0,157,84,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
6,20,1.0,67.0,7980,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6,7,25,10,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,935.0,1.0,0.0,233.0,1168.0,0.0,2.0,0.0,0.0,1187,0,0,1187,1.0,0.0,2,0,3,1,0.0,6,0.0,0,0.0,0.0,25,1.0,2.0,420.0,0.0,0.0,0.0,483,21,0,0,0,0,0.0,2.0,2.0,500,3,7,0.0,0.0
7,60,1.0,63.0,8402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6,5,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,789.0,789.0,0.0,1.0,0.0,0.0,789,676,0,1465,0.0,0.0,2,1,3,1,0.0,7,0.0,1,2.0,0.0,19,1.0,2.0,393.0,0.0,0.0,0.0,0,75,0,0,0,0,0.0,1.0,0.0,0,5,7,0.0,0.0
8,20,1.0,85.0,10176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,5,27,27,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,637.0,1.0,0.0,663.0,1300.0,0.0,1.0,0.0,0.0,1341,0,0,1341,1.0,0.0,1,1,2,1,1.0,5,0.0,1,3.0,0.0,27,0.0,2.0,506.0,0.0,0.0,0.0,192,0,0,0,0,0,0.0,1.0,0.0,0,2,7,0.0,0.0
9,20,1.0,70.0,8400,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,47,47,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,804.0,2.0,78.0,0.0,882.0,0.0,0.0,0.0,0.0,882,0,0,882,1.0,0.0,1,0,2,1,0.0,4,0.0,0,0.0,0.0,47,1.0,2.0,525.0,0.0,0.0,0.0,240,0,0,0,0,0,0.0,0.0,0.0,0,4,7,0.0,0.0
